"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGHV3-15",557.490052227752,-22.067861338603,2.20516267234351,-10.0073620941309,1.41474487094149e-23,2.83755378764735e-19
"UTY",1315.81757026021,-26.0994547030553,2.88534494714426,-9.04552321513132,1.48950118638843e-19,1.49374626476964e-15
"FCRL5",64.5297262456954,-19.9108575756871,2.25894138077945,-8.81424270018766,1.20496770438666e-18,6.12229804651963e-15
"IGHV3-21",235.873851511869,-19.213365169374,2.18017483592545,-8.81276347785118,1.22097981682597e-18,6.12229804651963e-15
"IGKV1D-33",492.565715953239,-21.2651771177888,2.49469732153159,-8.52415118028558,1.53934465554277e-17,6.17492715124426e-14
"P2RY10",25.9187061637815,-18.3973257139625,2.17317796785411,-8.46563235321628,2.5476661825831e-17,8.51642343734487e-14
"ADGRG7",55.0065296874963,-20.3274669714492,2.49210016442914,-8.15676161881142,3.44126631664012e-16,9.86021121612157e-13
"MUC2",216.396956376882,-21.0220147714108,2.62595616086522,-8.00547057285386,1.19010689438468e-15,2.98374674758419e-12
"IGLV2-18",106.802811496207,-18.6514318888945,2.34478172205555,-7.95444271569285,1.79939604134437e-15,4.01005404458268e-12
"IGKV1-16",495.275237238349,-20.5286653068871,2.60397379168003,-7.88359136811529,3.18103372200146e-15,6.38019933621832e-12
"IGHV4-4",118.543948023087,-19.5137064229892,2.53712536189313,-7.69126615345039,1.45686012399612e-14,2.64622047977701e-11
"IGKJ5",146.662795870997,-19.7050858152704,2.5655596851219,-7.68061874745826,1.58322011055114e-14,2.64622047977701e-11
"IGHV1OR15-1",39.7777933505356,-19.0616611691447,2.51156158972529,-7.58956549069918,3.20980010991442e-14,4.95222775419642e-11
"PKP1",97.1335903420157,-20.253001107852,2.72508301513821,-7.43206757201296,1.06913155656171e-13,1.53168368785416e-10
"BTLA",16.6357932535862,-19.7359889567625,2.66988769777362,-7.39206707953298,1.44563558001557e-13,1.93300752189149e-10
"LOC102724760",36.1241034613965,-19.0211281948133,2.59177537230284,-7.3390342381071,2.15140576877012e-13,2.69692159401389e-10
"MUC17",5111.84831731275,-20.4037426522454,2.91217162937458,-7.00636681108911,2.44586170130918e-12,2.88568518489166e-09
"KRT16",1877.51303339107,-16.6689745569782,2.68887535878276,-6.19923660742839,5.67376821233512e-10,6.32215383526697e-07
"TIMD4",27.4185293663273,-18.4920422669275,3.10422700265441,-5.95705219080789,2.56828243222782e-09,2.71116003911545e-06
"ELK2AP",26.4222098877699,-18.0446216640026,3.08402928670561,-5.85098907516473,4.88658324805809e-09,4.90051001031505e-06
"IGKV1-37",50.6676468508564,-17.5974675819629,3.12424243746222,-5.63255507029635,1.77559119630328e-08,1.69585869639309e-05
"ANKRD30A",19.4199427291497,-20.7988040257996,3.7005608069374,-5.6204464974088,1.90464570215258e-08,1.73643085673065e-05
"KDM5D",1731.27662766923,-13.2072401744406,2.48065246740199,-5.32409934402165,1.01454451953046e-07,8.84726931661845e-05
"KLHL14",7.29252762996426,-17.1247535701043,3.33657395381966,-5.13243638748066,2.86015409018835e-07,0.000239025460778782
"RPS4Y1",2847.37939023629,-12.9900271434686,2.56562132096565,-5.06311162809457,4.12468170852813e-07,0.000330914964111795
"IGLV3-9",41.1119064493079,-15.5022994050433,3.07272288881996,-5.04513422328062,4.53203106749139e-07,0.000349611335079518
"UGT3A2",6.63229893945927,-16.418729472925,3.32552194071245,-4.93718873777977,7.9256760269049e-07,0.000588760311376413
"USP9Y",2714.61660775369,-13.3548382609251,2.73952144017058,-4.87487999367274,1.08874620577209e-06,0.00077989223747039
"IGKV1-5",1666.151512692,-9.84458701909203,2.03212610107569,-4.84447643966625,1.2694598000529e-06,0.000877984662402103
"CYP2C18",322.805817025079,-8.43732026937082,1.76354859521078,-4.78428566827353,1.71596491275287e-06,0.00114723694183615
