"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGHV3-15",557.490052227752,24.0565407747352,1.86734706717586,12.8827367968173,5.63030218979306e-38,1.1917660645135e-33
"IGHV3-21",235.873851511869,21.6612307567236,1.84944534902322,11.7122848578164,1.10267433908159e-31,1.167015386767e-27
"FCRL5",64.5297262456954,21.0512951888697,1.90484251046152,11.0514622984602,2.15672863168291e-28,1.52171583156107e-24
"IGKV1D-33",492.565715953239,22.8388516556905,2.07609350945493,11.0008781163652,3.78428689691717e-28,2.00255001867614e-24
"IGKV1-16",495.275237238349,22.8854891436868,2.15557314273616,10.6168928764056,2.48701820710903e-26,8.77378573164615e-23
"UTY",1315.81757026021,25.0879494056598,2.36231957846502,10.6200488851561,2.40435176870443e-26,8.77378573164615e-23
"ADGRG7",55.0065296874963,21.5702742543935,2.0703209072121,10.4188071420484,2.03489288559947e-25,5.40947981457201e-22
"P2RY10",25.9187061637815,19.2095280462262,1.84381508279879,10.418359316742,2.04449560715151e-25,5.40947981457201e-22
"IGLV2-18",106.802811496207,20.3395495771643,1.96763045746701,10.3370780320955,4.78917717857278e-25,1.12636125932056e-21
"IGHV4-4",118.543948023087,21.6182122541516,2.10610889151288,10.2645273192036,1.01818378341799e-24,2.15518961436086e-21
"IGKJ5",146.662795870997,21.7143079312103,2.12713122206493,10.2082597001848,1.82101588377246e-24,3.50413120107378e-21
"MUC2",216.396956376882,21.3168596337963,2.17185718355889,9.81503746893047,9.700194730862e-23,1.71103351556797e-19
"IGHV1OR15-1",39.7777933505356,20.336274810878,2.08656797086726,9.74627958198045,1.91352761272777e-22,3.11566453681606e-19
"LOC102724760",36.1241034613965,20.2267880657461,2.14489166960929,9.43021428650081,4.09252020421913e-21,6.1875982259076e-18
"PKP1",97.1335903420157,20.1753288860162,2.24470537602473,8.9879630090902,2.51854772107151e-19,3.55400664079471e-16
"BTLA",16.6357932535862,19.58205071467,2.19988350469059,8.90140349382919,5.51448963480908e-19,6.86618835882375e-16
"KRT16",1877.51303339107,19.7606509348709,2.21877146328968,8.90612271782719,5.28484255205852e-19,6.86618835882375e-16
"MUC17",5111.84831731275,20.9446172719958,2.38252793850629,8.79092200074129,1.48337530185672e-18,1.74436694524451e-15
"TIMD4",27.4185293663273,20.0763946454011,2.52101890917857,7.9636033558918,1.67100312089208e-15,1.86158542420646e-12
"ELK2AP",26.4222098877699,19.5486028163495,2.50736083014148,7.7964856838122,6.36550401718277e-15,6.41612493008132e-12
"IGKV1-37",50.6676468508564,19.7946400175785,2.53830755873806,7.79836153008172,6.2716119164759e-15,6.41612493008132e-12
"IGLV3-9",41.1119064493079,19.0936570034319,2.49739645855206,7.64542487359095,2.08256515981921e-14,2.00371166990424e-11
"KRT16P2",12.4581537633593,18.8180166510411,2.63119267826148,7.15189609887283,8.55873429917138e-13,7.87664038741567e-10
"UGT3A2",6.63229893945927,18.8220568134648,2.63659125602998,7.13878450837537,9.41598118970399e-13,8.30450307676935e-10
"KLHL14",7.29252762996426,18.6257175893598,2.67981607748021,6.95037161164927,3.64325233036335e-12,3.08466888307204e-09
"ANKRD30A",19.4199427291497,20.3168153185221,2.96161430549764,6.86004767089624,6.88375727441456e-12,5.60417270105896e-09
"IGLV2-14",1093.5914901422,10.6226980141655,1.63603426776489,6.49295569381801,8.41684488059127e-11,6.59849465138798e-08
"IGKV1-5",1666.151512692,11.0209689546901,1.71919728121443,6.41053186572339,1.4501283903585e-10,1.09624527281137e-07
"IGHV3-33",555.334063062886,9.55763510537668,1.5278833681396,6.25547427550988,3.96309666171207e-10,2.89265058753308e-07
"IGKV2D-28",605.940015114253,8.52435915738103,1.38488686835948,6.15527473914088,7.49474540696089e-10,5.28804253430471e-07
"IGKV2-28",621.243520400462,8.41501461189267,1.37485041985117,6.12067646806523,9.31789251855634e-10,6.36231712710587e-07
"KDM5D",1731.27662766923,12.4819753528278,2.04397628007061,6.10671242838325,1.01704244302337e-09,6.72741793483615e-07
"IGKJ4",420.950990975773,9.34535442579377,1.57695199759288,5.92621363241167,3.09999247297038e-09,1.98841032349588e-06
"MUC5B",39609.2749005528,6.16446216565308,1.04329261831849,5.90866077015725,3.44900109862148e-09,2.14720606630943e-06
"IGKV1-12",687.557122153548,9.36516957873681,1.61616735443841,5.79467810249826,6.84523463239727e-09,4.13980232754151e-06
"IGHV3-30",468.084408458872,9.34024948567119,1.61659658041766,5.77772438641311,7.57177065359462e-09,4.31343774138455e-06
"IGKV1-39",1560.9340070666,8.4525680524679,1.4633220133517,5.77628708879154,7.63670289742096e-09,4.31343774138455e-06
