"gene_symbol","original_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGHV3-15","28448",557.594286788829,-22.0619527077682,2.21165348157533,-9.97532067819856,1.95468998981036e-23,3.8693088348296e-19
"UTY","7404",1315.17666309839,-26.0522562886567,2.88519644731888,-9.02962996258581,1.7225327077083e-19,1.70487674745429e-15
"FCRL5","83416",64.5506218804834,-19.9051217756085,2.26832043733539,-8.77526889410351,1.70495982908465e-18,8.43741995418264e-15
"IGHV3-21","28444",235.961146218872,-19.2395345036596,2.18756833145652,-8.79494104344139,1.43123109718453e-18,8.43741995418264e-15
"IGKV1D-33","28896",492.988786785974,-21.2298198814018,2.49507522600921,-8.50868930126737,1.75910516440329e-17,6.96429734587261e-14
"P2RY10","27334",25.9307834072919,-18.3617708074505,2.18254639731886,-8.41300365023486,3.99642524908526e-17,1.31848729676071e-13
"IGHV4-4","28401",118.589452101531,-19.5076582668566,2.39358639511939,-8.14997039865925,3.64013365220465e-16,1.02937779493416e-12
"ADGRG7","84873",54.9607984048541,-20.3156848249594,2.5043726530671,-8.11208539594889,4.97583102770717e-16,1.23120718991829e-12
"MUC2","4583",216.463895951037,-21.1987263839349,2.62593656738573,-8.0728250054568,6.86900227213178e-16,1.51079888863165e-12
"IGKV1-16","28938",495.666358533301,-20.5513848497862,2.60429149505958,-7.89135351736656,2.9892655506841e-15,5.91725115757918e-12
"IGLV2-18","28814",106.869159637003,-18.5512783346455,2.35450090595113,-7.87907037442888,3.29825703228906e-15,5.93536345037836e-12
"IGKJ5","28946",146.766613778458,-19.7174079419839,2.56593087831102,-7.68430985754475,1.53823951190699e-14,2.53745426151657e-11
"IGHV1OR15-1","388077",39.7948519110851,-19.0190832973165,2.52547264931909,-7.53090052368783,5.03915686021231e-14,7.67308538830021e-11
"PKP1","5317",97.174779033101,-20.2583396922612,2.72523131749213,-7.43362207906217,1.05663581759886e-13,1.49400757209781e-10
"BTLA","151888",16.6396279954094,-19.7494877995204,2.68624287600938,-7.35208568663003,1.9513763929774e-13,2.57516637993251e-10
