"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"IGHV3-15",557.490052227752,21.8542992535796,1.9768485403643,11.0551207173172,2.07058092915164e-28,4.26767435307444e-24
"IGHV3-21",235.873851511869,20.7932507576364,1.95631513022822,10.6287838990494,2.18948795174195e-26,1.77398798626949e-22
"MUC17",5111.84831731275,27.1186263258231,2.55513353958573,10.6133890482374,2.58209885925403e-26,1.77398798626949e-22
"IGKV1D-33",492.565715953239,22.620903977729,2.21227422226155,10.22518083432,1.52942236037444e-24,7.88073106741941e-21
"KRT16",1877.51303339107,23.5829906978485,2.36995910178323,9.95080070373532,2.50162227504709e-23,8.59348945183261e-20
"UTY",1315.81757026021,25.2161957546515,2.53357680226788,9.9528049562499,2.45173511816652e-23,8.59348945183261e-20
"IGLV2-18",106.802811496207,20.4810513882785,2.08899305717057,9.8042697260177,1.07924816206729e-22,3.1777691240527e-19
"P2RY10",25.9187061637815,19.0687842765495,1.94783087308587,9.7897535869424,1.24599168601554e-22,3.21014183005829e-19
"FCRL5",64.5297262456954,19.6374646489203,2.01979340924008,9.72251149997994,2.41743973683794e-22,5.53620560177408e-19
"MUC2",216.396956376882,22.3324081147267,2.3194789916813,9.62820020996992,6.07847613622155e-22,1.25283471643662e-18
"IGKV1-16",495.275237238349,21.8902637097759,2.30184389648084,9.50988194431547,1.90879033604403e-21,3.57655251056396e-18
"PNLIPRP3",422.884896832791,-26.4642432073166,2.84762944245841,-9.29342940929475,1.49395480211867e-20,2.56599186887233e-17
"PKP1",97.1335903420157,21.7142278262052,2.40014093310971,9.04706366474548,1.4686440693012e-19,2.3284786855667e-16
"IGKJ5",146.662795870997,20.329196349089,2.27020607277521,8.95478018179979,3.40413199668515e-19,5.01161175597697e-16
"IGHV4-4",118.543948023087,19.870719750529,2.24696131945563,8.84337419539696,9.28705560991586e-19,1.2761033545065e-15
"IGHV1OR15-1",39.7777933505356,18.9164452269292,2.22532524299701,8.50053055680662,1.8872611708118e-17,2.43114624947513e-14
"ADGRG7",55.0065296874963,18.1845672913691,2.21039368971136,8.22684546016043,1.92208181413637e-16,2.33035460418616e-13
"LOC102724760",36.1241034613965,18.8206632587372,2.29095877445948,8.21519071777172,2.11827325397752e-16,2.4255405576517e-13
"POSTN",4239.43105611903,7.46287064822357,0.912535366733863,8.17817141151975,2.88183624829333e-16,3.1261856270302e-13
"CEACAM6",16344.137343511,9.96390201386201,1.22519606886466,8.13249590581463,4.20540405198036e-16,4.33387914576836e-13
"CTSE",3088.05013578196,11.8624071019705,1.47681290007417,8.03243735301521,9.55550330392644e-16,9.37849898082037e-13
"SLC2A11",194.764746690397,-2.54655994090052,0.31913515709465,-7.97956566140801,1.46849110692699e-15,1.37577591840328e-12
"BTLA",16.6357932535862,18.1947500350114,2.35325640190264,7.73173293836604,1.06092330552679e-14,9.50725663052721e-12
"APOC1",487.856080363278,9.25408111638411,1.23545615365363,7.49041646602909,6.86554110485345e-14,5.8960694880056e-11
"LOC112268252",2864.87504962367,11.2431540190453,1.5123876300109,7.43404256682812,1.05328050862694e-13,8.68366582532397e-11
"TMPRSS4",1159.391840302,11.5088342547974,1.61324360889152,7.13397170233035,9.75133868156152e-13,7.73018621406402e-10
"F2R",1025.8536259507,5.59422490887744,0.78490713384845,7.12724431672394,1.02398243615601e-12,7.81677851541165e-10
"TSPAN1",1558.80243389739,7.21449391289346,1.03159553048928,6.99352963411124,2.68055209528638e-12,1.97317354414099e-09
"TFF1",1454.41566651573,12.9362780925914,1.86221592527582,6.94671220292317,3.73897358885988e-12,2.65737878068934e-09
"IGKV1-37",50.6676468508564,18.9235926399735,2.73033122760791,6.93087800067128,4.18236627747214e-12,2.87342504483261e-09
"GALNT5",514.931651499162,9.76504150350178,1.41505005543147,6.9008452853099,5.16940093826937e-12,3.43698460447323e-09
"ELK2AP",26.4222098877699,18.3341552392066,2.6967124500797,6.79870604619514,1.05562956037995e-11,6.79924402155975e-09
"MUC5AC",10788.0708837801,11.2359097417897,1.65402460069145,6.79307293077301,1.09769851676213e-11,6.8559588269649e-09
"CYP2S1",735.175625137025,9.44894386800288,1.39647000741687,6.76630634229024,1.32111667493552e-11,8.00868699620468e-09
"MATN3",202.82629863721,9.38169005806419,1.40281661518492,6.68775230954011,2.26624275550239e-11,1.33455798381885e-08
"UBD",963.855491430267,6.36061601844842,0.953798024804417,6.66872425087345,2.5803654661664e-11,1.47733090619877e-08
"TIMD4",27.4185293663273,17.9074643716876,2.71430232950411,6.59744648819544,4.18299593692755e-11,2.33015484475713e-08
"LAMC2",5178.76323101495,5.12448602542107,0.778244322400382,6.58467511798266,4.55881123839178e-11,2.47267522196034e-08
"CDH17",533.312607269765,10.4340083720891,1.59229638483945,6.55280541451529,5.64660748730219e-11,2.94792672905263e-08
"CYP2C18",322.805817025079,10.5077445538488,1.60402780935256,6.5508493634472,5.72107462821333e-11,2.94792672905263e-08
"LYZ",30545.9483147766,8.35267856718713,1.27881544964754,6.53157464549656,6.50817712543922e-11,3.27170826176653e-08
"IGLV3-9",41.1119064493079,17.5059454657326,2.68780911363612,6.51309104389866,7.36198568564819e-11,3.61280683254512e-08
"LOC105372815",901.35448146582,12.2571466939677,1.88457711038684,6.50392421005884,7.82513322770487e-11,3.7507865338657e-08
"KRT17",12726.6304044206,8.16266936124413,1.25804564085894,6.48837299390111,8.67682552227935e-11,3.97417890754888e-08
"S100A11",2022.49527919164,3.66710688065179,0.565064979876954,6.48970828355055,8.60027340711176e-11,3.97417890754888e-08
"SNORA55",397.456318485274,-5.0957873422521,0.790011728231121,-6.45026796458053,1.1165255736075e-10,5.00276273861396e-08
"IGKV1-5",1666.151512692,11.649772394371,1.82042774153581,6.399469821605,1.55917392396031e-10,6.69502786390542e-08
"MMP11",1665.98392348254,8.1542056372469,1.27378613439836,6.40155000674295,1.53807419698463e-10,6.69502786390542e-08
"SLC25A45",285.850449872949,-3.21596133103564,0.505547021887454,-6.36134957145803,1.99988710449733e-10,8.41217818587642e-08
"BNIP5",192.052720838648,8.82662998181942,1.39653104605616,6.32039653307103,2.6089296528464e-10,1.07545298149634e-07
"STRA6",477.242357509338,11.0565118445434,1.75856442184385,6.28723730970893,3.23165191578636e-10,1.30603093404456e-07
"COL22A1",149.004083585162,8.73416881030749,1.39781825304633,6.24842950167,4.14600280966111e-10,1.64333199826779e-07
"SNORA11",176.944211419324,-4.17037362509081,0.667787930791626,-6.24505690024535,4.23645864012574e-10,1.64750281191758e-07
"ST6GALNAC1",229.864008838711,8.97684723164466,1.44131852036024,6.22821888766195,4.71767648943854e-10,1.80066722451514e-07
"IGLV2-14",1093.5914901422,10.5672316677039,1.72595955480781,6.12252566305392,9.21035762626954e-10,3.45153965518257e-07
"ERN2",697.018505456032,7.32404699339458,1.21228714787776,6.04151170472782,1.52676929458805e-09,5.52074419837796e-07
"VCAN",18965.2609377435,4.59906652983462,0.761033060941907,6.0431888782105,1.51097592746512e-09,5.52074419837796e-07
"MMP7",6139.19061671634,5.39676484493848,0.89575898461451,6.02479566226286,1.6932340797097e-09,6.01711165808564e-07
"CEACAM5",29162.3375956419,11.1573045978658,1.85482432288815,6.01528913557312,1.79565904895153e-09,6.06726699310493e-07
"FER1L6",669.649515831779,11.2003302564257,1.86139341449951,6.01717518133437,1.77486976922448e-09,6.06726699310493e-07
"GJB3",161.24912046342,9.18814309620205,1.52675076651652,6.0181028218286,1.76473091343598e-09,6.06726699310493e-07
"MS4A8",142.899985050476,9.73685797988676,1.62396429264874,5.99573403427832,2.02568327287138e-09,6.73408998986323e-07
"CDSN",69.2952600651493,8.39020521196678,1.40294708507431,5.98041458671433,2.22570408834827e-09,7.28158523253115e-07
"SNORD94",1507.63344633062,-3.55167182878205,0.594575601251361,-5.97345706972687,2.32277931673288e-09,7.48043820268458e-07
"LOC101929532",120.763017630932,8.24116766578585,1.38288986730833,5.95938104733281,2.53195086346766e-09,8.02192380475662e-07
"TMC5",2519.32083429784,5.96785083785583,1.00181785433073,5.95702183990592,2.56875926017145e-09,8.02192380475662e-07
"AOC1",177.756795380416,8.77265457787184,1.47524938565348,5.94655701143431,2.7384118635205e-09,8.4240905849285e-07
"AKR1B10",836.319388245206,10.5321814939437,1.77873335962602,5.92116937423272,3.19660425634255e-09,9.68539096059823e-07
"SNORD104",162.958709898188,-3.64870588896148,0.616457316929191,-5.91882972066432,3.24240442618639e-09,9.68539096059823e-07
"PIGR",6194.89051362007,6.6634682854472,1.12652785212303,5.91504974589785,3.31775293707814e-09,9.76888654087393e-07
"IGKV2-28",621.243520400462,8.49285559136268,1.4384753133249,5.90406766990825,3.54646580744267e-09,1.02952403883382e-06
"SLFN13",309.924156509626,3.58537574856811,0.608671859524428,5.8904904054041,3.85051227879915e-09,1.10226261914346e-06
"IGKV2D-28",605.940015114253,8.51847864307172,1.44995325845621,5.8750022412043,4.22837627831142e-09,1.19385018455174e-06
"EPS8L3",530.472414756692,7.02942173747623,1.19792412663699,5.86800247291988,4.41076676214519e-09,1.22851775316993e-06
"S100P",565.276494674493,9.69829814873416,1.65623965617477,5.85561281097038,4.75254286214365e-09,1.30606214575524e-06
"CENPE",231.986861337821,4.93328772387612,0.843042525058812,5.85176616509584,4.86380135400316e-09,1.31905012772841e-06
"IGKV1-33",735.97623444488,10.969852130569,1.87839489931823,5.84001379824366,5.21964989993939e-09,1.3971714816578e-06
"ABRACL",42.7525015632098,6.60240682055834,1.13148619591196,5.83516338459338,5.37378825639529e-09,1.41998909939184e-06
"SDR16C5",183.440223261425,9.01433004794614,1.54754255168755,5.82493194653438,5.71358771740551e-09,1.49066780308158e-06
"APOE",2091.69137603206,4.0640605821672,0.699061979394693,5.81359121502532,6.1146628285234e-09,1.55591747603328e-06
"SLC12A2",3555.42049931102,3.49122054567682,0.600378638499616,5.81503125161415,6.06225592747146e-09,1.55591747603328e-06
"GCNT3",615.989662242574,8.17527512585187,1.41047375978151,5.79611996973148,6.78667232468481e-09,1.69920470967364e-06
"TCN1",3262.74439658132,7.28074904454905,1.25644073334927,5.79474132865852,6.84265639235905e-09,1.69920470967364e-06
"SMIM24",102.858679183671,9.35528695286405,1.61635297293914,5.78789850329078,7.12724523899126e-09,1.74477152893298e-06
"TMEM107",255.757543921755,-2.86174678287194,0.494573015422778,-5.78629786428121,7.19545776329647e-09,1.74477152893298e-06
"KRT6B",1588.62526162731,12.4693570881732,2.16798883654807,5.75157808839421,8.84142254897119e-09,2.11876828870972e-06
"LAMP5",49.1111227050296,7.75552843529791,1.34887224200595,5.74963899009768,8.94342055784512e-09,2.11876828870972e-06
"SLC44A4",2000.98275324148,4.87553979947931,0.848925686814912,5.74318797888172,9.29104855581483e-09,2.17611138390795e-06
"CDH3",1536.7931436765,5.48485898902836,0.955486798925381,5.74038175639589,9.44633594258634e-09,2.18762281025446e-06
"MITD1",190.153059887127,1.77471842273655,0.309397674981236,5.73604317758427,9.69139646203878e-09,2.21943747198979e-06
"BCAS1",725.950114823252,7.21633306924121,1.25890919343504,5.73221095443017,9.9129872714819e-09,2.24523715002762e-06
"IGKV1-12",687.557122153548,9.700102890895,1.70311273981094,5.69551425701379,1.23000606064376e-08,2.75561466477485e-06
"CENPK",58.0215166240774,7.21429065863897,1.27115621365465,5.67537693726676,1.38383597932492e-08,3.0342812095602e-06
"KDM5D",1731.27662766923,12.412572261261,2.1866476903693,5.67653047902045,1.37454073534867e-08,3.0342812095602e-06
"IGKJ4",420.950990975773,9.39525387496177,1.65842282508335,5.6651740031916,1.46875413242374e-08,3.15338452326935e-06
"SNORA37",267.985581924389,-3.56111532969959,0.628413406781044,-5.66683538459322,1.45458964709217e-08,3.15338452326935e-06
"CSMD3",604.679978516611,-7.33850762693618,1.29721139593522,-5.6571408869296,1.53915415573807e-08,3.27046456741416e-06
"DUOX2",4573.28367706647,7.66178369821553,1.35678558239218,5.64701143470797,1.63260975662458e-08,3.39896158523124e-06
"IGLV2-23",603.275512786453,9.98765837515665,1.76857355105042,5.64729601956593,1.62991045498591e-08,3.39896158523124e-06
"SNORA17A",89.9819545353014,-4.07709056278531,0.722371478186366,-5.64403590936553,1.66109404423893e-08,3.42368093458086e-06
"SNORA77B",464.197141375765,-4.66467519951459,0.827765932899007,-5.63525872969661,1.74795707014212e-08,3.53374498049821e-06
"STYK1",72.2451716466291,8.34298470811834,1.48051861718805,5.63517716782526,1.74878457139788e-08,3.53374498049821e-06
"LGALS4",2088.12582976337,4.69539735628755,0.833490728758411,5.63341281945863,1.76677850657062e-08,3.5354438639735e-06
"H2AC4",76.6775747557057,7.15522100994806,1.27279067500673,5.62167931495116,1.89110067519356e-08,3.71214057299185e-06
"TOP2A",744.209070425112,4.75402643234985,0.845622009553671,5.62192844869196,1.88837481345467e-08,3.71214057299185e-06
"MSLN",808.493190266562,7.92162886863014,1.40994466613837,5.61839699023528,1.927372476967e-08,3.74764850214781e-06
"TNS4",630.791890776915,7.67264175529423,1.36757960767457,5.61038034805211,2.01882415361227e-08,3.88878361028996e-06
"ADAM9",9238.17181047776,2.93318932472104,0.523372036274463,5.60440589375096,2.08970488495016e-08,3.96630749614529e-06
"SNORD67",102.499988554867,-3.59193275631842,0.640986624554968,-5.60375617636681,2.09755721255561e-08,3.96630749614529e-06
"TMEM45B",193.66273692553,6.63477649846318,1.18441663609581,5.60172518374393,2.12228846440615e-08,3.97658977635229e-06
"CYP2C19",269.435236277682,10.3037219049831,1.84066059353771,5.59783913512244,2.17039996466756e-08,4.03010033078948e-06
"CYP2C9",249.010617718793,9.99635879163692,1.78707023566853,5.59371343784783,2.22263689943507e-08,4.05405036586338e-06
"MDK",784.333874351461,4.50286242390543,0.804786325344309,5.59510305046372,2.2049076631829e-08,4.05405036586338e-06
"DUOXA2",348.122919489826,9.90889520599004,1.77253355476577,5.59024407709983,2.26750655370666e-08,4.09961206828491e-06
"SLPI",353.25604601054,5.38854853656122,0.964600295878221,5.58630197356016,2.31955764369023e-08,4.15725239948689e-06
"SERPINB5",251.212029437612,9.62523893148571,1.72513166681191,5.57942278647834,2.41318037291173e-08,4.28776385052446e-06
"KLK10",187.891435750281,8.99075751786031,1.61413060922667,5.5700309915861,2.54694027420474e-08,4.44872762640965e-06
"RAB11A",544.467062754778,2.25140520686046,0.404130179876192,5.57099003976934,2.53295810517086e-08,4.44872762640965e-06
"SLC5A1",1075.40298551466,5.89839041433488,1.05977891463377,5.56568009882816,2.61131920541186e-08,4.52284875149107e-06
"CRACD",340.875995327969,4.72556209228349,0.851733195333283,5.54817179625643,2.88672157760442e-08,4.95818486966706e-06
"VSIG1",287.378778724777,9.96533162591582,1.79708690959092,5.54526972108672,2.93501378964545e-08,4.99946853044482e-06
"IGHV7-4-1",50.1230276496073,19.7284288387696,3.55909563247251,5.54310164041988,2.97160251253654e-08,5.01912911916138e-06
"MYO1A",518.185462227274,8.04714164024486,1.4521034879769,5.54171359470827,2.99525923854665e-08,5.01912911916138e-06
"RNA5S17",492.560989772696,-5.11785033455261,0.925010692484939,-5.53274721701224,3.15253649843854e-08,5.24007498139651e-06
"RPS4Y1",2847.37939023629,12.3513930904601,2.24619749399785,5.4988010286116,3.82382309307445e-08,6.3050254217086e-06
"LHB",305.432124926921,-4.21209391139342,0.766915816594165,-5.49225067504686,3.96843569110527e-08,6.49154190709291e-06
"RNA5S1",493.662078410801,-5.07623878447854,0.924636213176033,-5.48998483094467,4.01968263067198e-08,6.52359674809292e-06
"IGHV3-33",555.334063062886,8.78688310049411,1.60256063175416,5.48302692976801,4.18109341648778e-08,6.69590927538255e-06
"PTPRR",109.610970425973,9.38757003517139,1.71266964940863,5.48124971935646,4.22331864441188e-08,6.69590927538255e-06
"SNORD89",2003.7257356013,-2.03454733169059,0.371111242645819,-5.48231122610402,4.19804855301115e-08,6.69590927538255e-06
"UGT1A10",672.067484740338,10.083723958423,1.8508299190103,5.44821750224088,5.08771192280829e-08,8.00479621687035e-06
"CHAD",248.620745069467,-4.18065466435834,0.769209739524957,-5.43499964904266,5.47965403080046e-08,8.45441031467606e-06
"CYP4F11",163.873052702563,9.09158186979198,1.67376697486789,5.43180861273092,5.57857359078135e-08,8.45441031467606e-06
"RNA5S2",502.518468799876,-5.06678932869866,0.932751214883557,-5.43209083821047,5.56975553316172e-08,8.45441031467606e-06
"RNA5S5",509.842817053815,-5.09451222410454,0.937860269465872,-5.43205890042229,5.5707527423753e-08,8.45441031467606e-06
"SNORA70",1272.74107262661,-2.78329053173812,0.512275355946954,-5.43319232406396,5.53546896761496e-08,8.45441031467606e-06
"RNA5S14",514.968685000158,-5.11823451051935,0.943671686845348,-5.42374491241692,5.83631550549872e-08,8.74605288125044e-06
"RNA5S16",505.815957569806,-5.10851477515316,0.941983458816946,-5.42314700681585,5.8558793732112e-08,8.74605288125044e-06
"RNA5S12",500.076549293229,-5.08843199299302,0.93868151145084,-5.42082903617465,5.93232737354591e-08,8.79648917238523e-06
"CNPY3-GNMT",1086.4822854168,-3.51254497351135,0.649648249994226,-5.40684127686416,6.41459404947785e-08,9.0555615036841e-06
"COMP",1837.08998328051,6.9788747023789,1.29063744524173,5.40730840261017,6.39789246335016e-08,9.0555615036841e-06
"GPX2",747.504753189885,5.51910895384611,1.02072699506763,5.40703731802494,6.40757966815949e-08,9.0555615036841e-06
"IYD",66.4669053468004,8.51404824578289,1.57333530956853,5.41146454541708,6.25113722504858e-08,9.0555615036841e-06
